model,rmse,TEmax,TEmaxt,MImax,TE0,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,MI0,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,corr0,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,MImaxt,replicate,sink,source,site
0_baseline_LSTM,NA,0.0862064460574396,1,0.1640076083136082,0.0395887668173841,0.0862064460574396,0.0763869711095934,0.0630626947008802,0.0557117348456249,0.0520188684201651,0.0524021028632104,0.0522139919308587,0.0558041660525783,0.1163221150746126,0.1640076083136082,0.1082233431837519,0.055562946847024,0.0310658186079428,0.0230754860041251,0.0167034785780505,0.0136265124570584,0.015097680522624,-0.5483555514204107,-0.6404674253374256,-0.5284356805339415,-0.3659855477548443,-0.2438205926976661,-0.1628030081078326,-0.112276885303168,-0.0878429146715985,-0.0740228041157919,1,0,do_max,tmmx,01473780
0_baseline_LSTM,NA,0.0951568537840796,0,0.0580041478389934,0.0951568537840796,0.0680333664856949,0.0609408969551317,0.0538144484756641,0.0556606183451961,0.0510938534199061,0.0517911023982895,0.05825225038895,0.050158538149245,0.0580041478389934,0.0307536033148966,0.0184943843696891,0.0106652474844213,0.0095037849592935,0.0072763529512987,0.0085602869538341,0.0101065759853474,0.0081852484720023,-0.1527074397640706,-0.2059004737718667,-0.1568112034862029,-0.1232985924429586,-0.0986772055761689,-0.0817458518438215,-0.0736476913783142,-0.0602669417360463,-0.0499755611074165,0,0,do_min,tmmx,01474500
0_baseline_LSTM,NA,0.0925928823369289,0,0.0589339341535273,0.0925928823369289,0.0682312073491185,0.0565046899653644,0.0540334270860039,0.0546741639937671,0.0516101581499584,0.0499578499190393,0.0537748264620448,0.0512333078694207,0.0589339341535273,0.0344083290667216,0.0195660894863081,0.0122552291418191,0.0096060530264681,0.0084145532111612,0.0078983039708279,0.0094480382268625,0.0080550837722573,-0.1702728001299868,-0.2206680892261768,-0.1677119865830013,-0.1307811717195872,-0.1029331449464093,-0.0845193128516714,-0.0768211342905607,-0.064068018156834,-0.0531616066181568,0,0,do_mean,tmmx,01474500
0_baseline_LSTM,NA,0.0892014230082196,0,0.0576993008669827,0.0892014230082196,0.0704623769405577,0.0583415775750591,0.0556551582246856,0.0532146233763978,0.0481232816045448,0.0498649437854235,0.0489736411697319,0.0509683750108621,0.0576993008669827,0.0387987573259026,0.0212314878516045,0.0114314304827926,0.0098459412477931,0.0083723217975449,0.0073375527442441,0.0083914287575294,0.0086025359114561,-0.2428725279959473,-0.2669997546463802,-0.1914897621721228,-0.1375993597911448,-0.0986210237711418,-0.0749003604214322,-0.0682107070905898,-0.0585332866637901,-0.048041494505784,0,0,do_max,tmmx,01474500
0_baseline_LSTM,NA,0.1086516620060871,0,0.0638197018073924,0.1086516620060871,0.0777086056348437,0.0785634473539351,0.062981621777301,0.0567681114566127,0.0572143155950011,0.0523803410200323,0.0522814102451316,0.0522213180476321,0.0638197018073924,0.0328766454361501,0.029556771386902998,0.0211347432086577,0.0183446660180571,0.0166816366888393,0.0149749918906496,0.0102758311915036,0.0103304978503359,0.2520493254772606,-0.1189710755318593,-0.1859314285282973,-0.2035086541881836,-0.1662611534045371,-0.1488989201019837,-0.1264176849926495,-0.0929283961877054,-0.0784135964108623,0,0,do_min,tmmx,01475530
0_baseline_LSTM,NA,0.1074514379138014,0,0.0629166121802327,0.1074514379138014,0.0767699491237307,0.0806761009326835,0.0625029586878941,0.0577937827340985,0.0573503295735562,0.0521131561972663,0.0551856910230875,0.0524898901932543,0.0629166121802327,0.0322351233901624,0.0289478236997977,0.021037853238783,0.0171694237370095,0.0161921172907853,0.0148603947438055,0.0103941471674921,0.0113828326760918,0.2462788861086369,-0.1213843309231599,-0.1850966559371325,-0.1989879469969712,-0.1627743958114876,-0.1455912650230068,-0.1222205950373174,-0.0951662276676539,-0.0776774976704265,0,0,do_mean,tmmx,01475530
0_baseline_LSTM,NA,0.0872188515876551,0,0.0396163666862975,0.0872188515876551,0.0846898414747547,0.0812045489341854,0.0672106207241725,0.0583738873142777,0.0560351028212145,0.0542650149670952,0.0523157705229549,0.0507007592070092,0.0396163666862975,0.0370261031036967,0.0375063560475582,0.0290512808697721,0.0218423914198731,0.0192497216617962,0.0154932688404708,0.0113575791170812,0.0108144352330276,0.1478678602665015,-0.2361792271218104,-0.2755750067212608,-0.2682785214364343,-0.2105568462084466,-0.1826396960715222,-0.1533234644117703,-0.1163658156849548,-0.1000906037267169,0,0,do_max,tmmx,01475530
0_baseline_LSTM,NA,0.0933291758081112,0,0.0834965851556261,0.0933291758081112,0.0630644966185215,0.0463224112420811,0.0462425627838191,0.0503860302088914,0.0470083150288832,0.0454403932499827,0.0477463859623826,0.0475984092075176,0.0834965851556261,0.0531288701259108,0.0225467152788853,0.0121940929230645,0.0108133450496999,0.0083931731177062,0.0070448456775641,0.008454438679505,0.0067291422107787,-0.3812784059930408,-0.325550175623013,-0.2104065368219441,-0.1299984649613641,-0.093739875716638,-0.0626428477056058,-0.0467718026028099,-0.0411723750052825,-0.0350671787257592,0,0,do_min,tmmx,01475548
0_baseline_LSTM,NA,0.0946465438425143,0,0.0869875324668573,0.0946465438425143,0.0622089737145103,0.0458416093498097,0.0465965921267523,0.0524935607912495,0.0492039178100692,0.0455537747963414,0.0477569404253996,0.0466209805880876,0.0869875324668573,0.0544865253221239,0.0230814689352335,0.0129618955705807,0.0117577906805329,0.0089923546446777,0.0071214414739936,0.0087637331771831,0.0069248570342992,-0.4043955571731432,-0.3423573759430956,-0.2212312197531246,-0.1363389177396836,-0.0975132091845741,-0.0649982885316445,-0.048903238229548,-0.0435702615495343,-0.0373805884548072,0,0,do_mean,tmmx,01475548
0_baseline_LSTM,NA,0.0968157862933912,0,0.0995606971856135,0.0968157862933912,0.0607956068096987,0.0499930518620297,0.0477652916748767,0.0480652055134115,0.0443583393758864,0.0426103440577333,0.0445667220182861,0.0453654536120851,0.0995606971856135,0.0634510776332051,0.0268651179214064,0.0148529985493828,0.0126470180677887,0.0089339584301779,0.0072850072879517,0.0081006008366409,0.0073556177341789,-0.4578668271771163,-0.3806678326457947,-0.2462788783306649,-0.1514911976770994,-0.1067083877521169,-0.0707694865170734,-0.0538939500063757,-0.049007916666726097,-0.0426876977622722,0,0,do_max,tmmx,01475548
0_baseline_LSTM,0.6859362568683939,0.0548642806279098,0,0.2145210605276509,0.0548642806279098,0.0534783171074881,0.0523728256331858,0.0433458404889535,0.0448910888092725,0.0427515021725863,0.0421284753530899,0.0403475571275289,0.0394147939059943,0.2145210605276509,0.2135250487358133,0.1190718703419749,0.060106384651529,0.0387694322506621,0.0269886416974985,0.0222564289903667,0.0191914479444302,0.0157748789803891,-0.7467399933108112,-0.7454532848114769,-0.5685125029290659,-0.3889961132359098,-0.2740069415349562,-0.2049775957596064,-0.1704296028723119,-0.1509084187891838,-0.1294297692734783,0,0,do_min,tmmx,01480617
0_baseline_LSTM,0.6195246898569884,0.0619952632390458,1,0.2149008889534931,0.0615011999965165,0.0619952632390458,0.0573089425784314,0.0484906843779758,0.0476373130292552,0.0443313388679214,0.0440829665462012,0.0422308070247234,0.0407833091011074,0.2140732775406183,0.2149008889534931,0.117721909379729,0.0576068977082162,0.0364444858663699,0.0247512060373171,0.0226824241304501,0.0210648262631821,0.0158133765412679,-0.7361013790314852,-0.7432744206354047,-0.569580657137765,-0.3887691401929116,-0.2727534635485046,-0.203241829026207,-0.1673020025857481,-0.1478057804577584,-0.1274506527769876,1,0,do_mean,tmmx,01480617
0_baseline_LSTM,1.1058485925876165,0.067468196649624,1,0.2012665589091754,0.055654583933569,0.067468196649624,0.0625629090716653,0.0527485698918839,0.0503136835828436,0.0483159442706127,0.0472446642202133,0.0449908634350034,0.0429309327054008,0.1890638797991625,0.2012665589091754,0.112185058885337,0.0551228764069613,0.0352267803602473,0.026668436521437,0.0215631297448169,0.0203671553752541,0.0158991543216474,-0.7098145942343297,-0.7246477909436482,-0.5555501069299525,-0.3793449717903802,-0.2679767822852017,-0.2010956890391033,-0.1685156520816392,-0.1508566899384823,-0.1323349029116912,1,0,do_max,tmmx,01480617
0_baseline_LSTM,0.6644231857897601,0.0558283976538837,1,0.2157996267015537,0.0438502598005606,0.0558283976538837,0.053161753205102,0.044759344554384,0.048657302157946,0.0448383721331388,0.0404578212806369,0.0420120710401031,0.0420322717183387,0.2034907685364066,0.2157996267015537,0.1185897125929444,0.0606238230441101,0.0425724279132465,0.0305130857484337,0.0242505679623502,0.0224177478685455,0.0178194926454045,-0.7359422879364991,-0.7376273371865186,-0.5611542996029825,-0.3852556302940598,-0.2743780930147055,-0.206401407957243,-0.1709922560414531,-0.1521359902781014,-0.128908601732934,1,0,do_min,tmmx,01480870
0_baseline_LSTM,0.5935734139969421,0.0657972068097167,1,0.2107168120285368,0.048670265678538,0.0657972068097167,0.0606630900873894,0.0489342929684398,0.0511178162409249,0.0500897365361978,0.0438905500453232,0.0446141151102388,0.0463498839383198,0.1931642169177644,0.2107168120285368,0.1154340358056289,0.057403501933582,0.039010901660351,0.0294011442952194,0.0226416692533544,0.0211972822998679,0.0167729411831583,-0.7217326742296863,-0.7363440570637796,-0.5637408743838135,-0.385320702827638,-0.2721996083805215,-0.204036160133563,-0.1672660230951258,-0.1482147097889772,-0.1263156460342028,1,0,do_mean,tmmx,01480870
0_baseline_LSTM,1.2086998135649445,0.0711813701731781,1,0.1977063722838328,0.052839173953112,0.0711813701731781,0.0612326733245502,0.0487269094118113,0.0485809128086646,0.0477337516964537,0.04361923980649,0.0425722434124236,0.0427680775931789,0.179028971518899,0.1977063722838328,0.1105310107022183,0.0577787164787433,0.0387659186931363,0.0292069953330344,0.0239732767875868,0.0222104262796024,0.0178942422109594,-0.6952790779747724,-0.7187352780250837,-0.5514661029878668,-0.3785905937959244,-0.2709882847228838,-0.2074498305368068,-0.1748982143339485,-0.1577672030317381,-0.1368899593198402,1,0,do_max,tmmx,01480870
0_baseline_LSTM,0.6228923843208931,0.0592654966624635,1,0.2126597457575135,0.0447492892291265,0.0592654966624635,0.0562910554315222,0.0496735883521075,0.0455208604482464,0.0444661891818328,0.0419096643108974,0.042788958534467,0.0410049199500762,0.1977585215673883,0.2126597457575135,0.1189686137236051,0.0598099785690551,0.0386799017275858,0.0290780553329684,0.0222430393825943,0.0232618741480509,0.0164798657835545,-0.7320079652551114,-0.74623437930438,-0.5749439133264828,-0.3939552278046571,-0.2750183236328686,-0.2025686118730882,-0.1633820949157155,-0.1420296418744206,-0.1185252234141328,1,0,do_min,tmmx,01481000
0_baseline_LSTM,0.6340573613097932,0.067940629613992,1,0.2100169473558536,0.0455142094861691,0.067940629613992,0.0606962842361163,0.054186509855736,0.0480148059402633,0.0464263467508411,0.0455350513283801,0.0469076075995119,0.0441091390387088,0.1872790112881975,0.2100169473558536,0.1146375072359314,0.0575950987467495,0.0349842436438606,0.0261487104616844,0.0196822316077301,0.0201968114597272,0.0151965414222603,-0.7066996349102856,-0.7390357154501788,-0.5757198687593746,-0.3947666305545352,-0.2748225459064376,-0.2019022430641303,-0.1614286885767323,-0.139495904736475,-0.1173848140910268,1,0,do_mean,tmmx,01481000
0_baseline_LSTM,0.9774546969535972,0.0795400584961436,1,0.1966500993866422,0.043788105989309,0.0795400584961436,0.0658486039324765,0.0557730943986784,0.0545965727397523,0.0526435858385174,0.0470661628783839,0.0478878476445321,0.0483488894269607,0.1605361088084152,0.1966500993866422,0.1132630992660659,0.0580407769704195,0.0366022314124056,0.0273517407099308,0.0197556476174766,0.0199978459879662,0.015003211279272,-0.6726663981810169,-0.7213865947406763,-0.5653323647432857,-0.3885727273786628,-0.2731462644925101,-0.2036807214669433,-0.1660142398656778,-0.145988358689728,-0.1255587414166177,1,0,do_max,tmmx,01481000
0_baseline_LSTM,0.6078018465354343,0.0675215443533553,0,0.2322303374042451,0.0675215443533553,0.0623650798394689,0.0543614659274087,0.0459682498897284,0.0453077138913755,0.0416122923447054,0.0397817263923413,0.0401544640647575,0.0410719622620057,0.2322303374042451,0.2273799730009693,0.1162540857948741,0.0545449619603254,0.0324926561176903,0.0247616112658478,0.0204215709704884,0.018277734184445,0.0138755807775332,-0.75796045385895,-0.7467119015380156,-0.5609381501202602,-0.3774270631316369,-0.2603265368077866,-0.1889762121284522,-0.1557387538375226,-0.139308517428741,-0.1220557909196585,0,0,do_min,tmmx,01481500
0_baseline_LSTM,0.5255216449327387,0.0724210822503409,1,0.2245688571377864,0.0606235828782585,0.0724210822503409,0.0588903050473643,0.051272465321803,0.0464222287560645,0.041558260472592,0.0443867203015124,0.0453632363422189,0.0443152705417751,0.21246342805896,0.2245688571377864,0.1182450247310067,0.0555917736371034,0.0335633585428201,0.0240951996486936,0.0191634480038465,0.0170611583856932,0.0131000155729247,-0.7344670648978299,-0.742885593007069,-0.5681077533619526,-0.3845826772256283,-0.2643618636665608,-0.1906235589033592,-0.1556377170489307,-0.1387019976442007,-0.1211007931421356,1,0,do_mean,tmmx,01481500
0_baseline_LSTM,0.6193602108027176,0.0785792100196739,1,0.2126228679672434,0.0557799181956404,0.0785792100196739,0.0634051966699781,0.0543607978494365,0.0486921198235382,0.0476693006879567,0.044409940360876,0.047715196065876,0.0488397327704609,0.1896876306313397,0.2126228679672434,0.1177803856604755,0.0591659822480643,0.0369857369108068,0.026418726629231,0.0206027511492251,0.0173885653284819,0.0145136086572767,-0.6880227372185792,-0.7167728410515041,-0.5577088302411704,-0.3815253060133581,-0.2652101040581019,-0.1925183982892765,-0.1583791427939074,-0.1422542749920123,-0.1249766988781822,1,0,do_max,tmmx,01481500
0_baseline_LSTM,NA,0.085318453997387,3,0.0338355512042399,0.0675665729592293,0.0681718153062744,0.0733220396038295,0.085318453997387,0.0797610950611211,0.0793392008444041,0.0708470432821083,0.0704516494946131,0.0662232576348053,0.0249001848516185,0.0257770308969191,0.032428267357861,0.0338355512042399,0.0278492309078755,0.0240011536270922,0.0206005154136109,0.0179655876479906,0.0174502167474751,0.0279575692888046,-0.1089844703436868,-0.2022162951969954,-0.2225433582995273,-0.2002650246703335,-0.1731976634955467,-0.1447191611346557,-0.1226280760160106,-0.0944351275319847,3,1,do_min,tmmx,01466500
0_baseline_LSTM,NA,0.0835319409485838,3,0.0334917611264228,0.0681257606018505,0.0683497927380092,0.0734611327258082,0.0835319409485838,0.078718101957671,0.0771731608763382,0.0684611947690069,0.0689473636453541,0.064406195457401,0.0243052936446627,0.0248013741575132,0.0318911278190168,0.0334917611264228,0.0275121112613518,0.0236857058271863,0.0203948478612644,0.0177854139920542,0.0179168229506976,0.0345452513148329,-0.1022639932402745,-0.1968588376134882,-0.2178709134516534,-0.1962995041257785,-0.1700543278375298,-0.1418775151442444,-0.1200204192461956,-0.0924719549531963,3,1,do_mean,tmmx,01466500
