rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
2.237773,-0.169029,1.473701,2.433816,0.835528,-0.223765,-0.375628,0.320256,-2.378587,-12.05237,-11.926431,0.448709,do_min,val,10,3,100,0_baseline_LSTM
2.43403,-0.487143,1.817412,2.481454,0.683778,-0.220799,-0.601924,0.27433,-4.483231,-21.988715,-10.724359,0.352434,do_mean,val,10,3,100,0_baseline_LSTM
2.931881,-0.838149,4.219708,2.629786,0.706407,-0.319766,-2.369213,0.854964,-15.761136,-29.67443,-12.258378,0.284363,do_max,val,10,3,100,0_baseline_LSTM
2.325404,-0.326198,1.543398,2.642701,0.893797,-0.396587,-0.463307,-0.144372,-2.766777,-12.465807,-14.7281,0.390152,do_min,val_times,10,3,100,0_baseline_LSTM
2.532663,-0.70814,1.848938,2.763439,0.730498,-0.395482,-0.619686,-0.204053,-5.615393,-23.180834,-13.299433,0.277067,do_mean,val_times,10,3,100,0_baseline_LSTM
3.053921,-1.123947,4.383155,2.860481,0.754402,-0.50174,-2.441188,0.539553,-21.822843,-28.097415,-15.208662,0.208242,do_max,val_times,10,3,100,0_baseline_LSTM
0.713329,0.876995,0.724252,1.024254,0.085498,-0.023237,-0.305668,0.828667,0.245975,-2.663012,0.843838,0.930208,do_min,train,10,4,100,0_baseline_LSTM
0.685433,0.871949,0.870054,0.797767,0.068844,0.011729,-0.375126,0.684316,-0.266609,-2.462345,0.86018,0.932473,do_mean,train,10,4,100,0_baseline_LSTM
1.133556,0.6823,2.219992,1.081718,0.098057,-0.006331,-1.506937,0.989801,-4.053112,-5.215587,0.68665,0.780241,do_max,train,10,4,100,0_baseline_LSTM
2.233605,-0.164679,1.450467,2.40961,0.70715,-0.290403,-0.277221,0.352693,-2.272895,-11.794036,-8.210043,0.447671,do_min,val,10,4,100,0_baseline_LSTM
2.43331,-0.486263,1.848856,2.479154,0.70995,-0.295787,-0.498397,0.296364,-4.674606,-21.946123,-11.639068,0.349286,do_mean,val,10,4,100,0_baseline_LSTM
2.954139,-0.866164,4.293142,2.566427,0.794722,-0.38466,-2.345891,0.763973,-16.349586,-28.214171,-15.779579,0.276388,do_max,val,10,4,100,0_baseline_LSTM
2.33159,-0.333264,1.511006,2.605241,0.75604,-0.455292,-0.247125,-0.132375,-2.610329,-12.086758,-10.184071,0.379299,do_min,val_times,10,4,100,0_baseline_LSTM
2.541607,-0.720226,1.866335,2.756577,0.758944,-0.459547,-0.406189,-0.200712,-5.740466,-23.060898,-14.43479,0.264732,do_mean,val_times,10,4,100,0_baseline_LSTM
3.082959,-1.164529,4.452357,2.790064,0.849857,-0.56084,-2.371706,0.424381,-22.549195,-26.682457,-19.568327,0.194608,do_max,val_times,10,4,100,0_baseline_LSTM
0.700002,0.881548,0.704629,1.134729,0.084795,0.103606,-0.29969,0.961656,0.286281,-3.495803,0.846397,0.914206,do_min,train,10,5,100,0_baseline_LSTM
0.637157,0.889352,0.828975,0.917483,0.065087,0.098808000000000007,-0.413142,0.803402,-0.149828,-3.579454,0.875024,0.925473,do_mean,train,10,5,100,0_baseline_LSTM
1.051418,0.726674,1.85866,1.156975,0.09252,0.112291,-1.179298,1.039923,-2.542059,-6.110535,0.721039,0.809275,do_max,train,10,5,100,0_baseline_LSTM
2.313747,-0.249756,1.343646,2.644272,0.771008,-0.160373,-0.221903,0.47669,-1.808575,-14.407294,-9.98137,0.41474,do_min,val,10,5,100,0_baseline_LSTM
2.470224,-0.531699,1.724136,2.613864,0.780441,-0.198813,-0.446847,0.442997,-3.9348359999999998,-24.507518,-14.261546,0.330266,do_mean,val,10,5,100,0_baseline_LSTM
2.970086,-0.886366,4.201831,2.653195,0.811707,-0.294926,-2.064255,0.83955,-15.619414,-30.222963,-16.533345,0.263577,do_max,val,10,5,100,0_baseline_LSTM
2.398393,-0.410757,1.399983,2.822649,0.824504,-0.35165,-0.236681,-0.062951,-2.099275,-14.362079,-12.370435,0.349184,do_min,val_times,10,5,100,0_baseline_LSTM
2.568879,-0.757341,1.747785,2.852623,0.834691,-0.384498,-0.42469,-0.092599,-4.911352,-24.766791,-17.654106,0.249819,do_mean,val_times,10,5,100,0_baseline_LSTM
3.099165,-1.187346,4.369954,2.868423,0.868491,-0.475192,-2.097664,0.476489,-21.685577,-28.259208,-20.522875,0.178212,do_max,val_times,10,5,100,0_baseline_LSTM
0.710965,0.877809,0.902819,1.122169,0.085696,-0.07464,-0.59035,0.977021,-0.171677,-3.396832,0.843113,0.879909,do_min,train,10,6,100,0_baseline_LSTM
0.68692,0.871393,1.075512,0.833582,0.069015,-0.098415,-0.820596,0.712407,-0.935444,-2.780201,0.859483,0.881385,do_mean,train,10,6,100,0_baseline_LSTM
1.120541,0.689554,2.300881,1.291837,0.097266,-0.087002,-1.749895,1.129351,-4.428057,-7.86482,0.691683,0.717421,do_max,train,10,6,100,0_baseline_LSTM
2.222441,-0.153065,1.45327,2.55199,0.73905,-0.240046,-0.43405,0.592239,-2.285559,-13.350664,-9.133095,0.468707,do_min,val,10,6,100,0_baseline_LSTM
2.418465,-0.468183,1.85666,2.522036,0.658848,-0.304192,-0.786364,0.463163,-4.722615,-22.746791,-9.886249,0.372049,do_mean,val,10,6,100,0_baseline_LSTM
2.976205,-0.894148,4.252416,2.835317,0.723781,-0.339003,-2.450741,1.159115,-16.021978,-34.656501,-12.918536,0.269902,do_max,val,10,6,100,0_baseline_LSTM
2.296467,-0.293398,1.524697,2.676904,0.788559,-0.447529,-0.467059,0.051804,-2.676048,-12.816623,-11.279389,0.413653,do_min,val_times,10,6,100,0_baseline_LSTM
2.508391,-0.675557,1.890941,2.760558,0.703092,-0.50783,-0.78578,-0.092273,-5.919371,-23.130442,-12.249402,0.302819,do_mean,val_times,10,6,100,0_baseline_LSTM
